Test method	Hit method	Comment	Jaccard index	Jaccard containment AB	Jaccard containment BA	curated
PTHR10949:SF0	SFLDS00029		0.047583081570997	0.807692307692308	0.0481283422459893	
PTHR11895:SF104	PTHR11895	C	0.0232558139534884	0.923076923076923	0.0233009708737864	
PTHR12993	PTHR12993:SF18	P	0.0215827338129496	0.0215827338129496	1	
PTHR11864	PTHR11864:SF1		0.16017316017316	0.167420814479638	0.787234042553192	
PTHR11819:SF114	PTHR11819	C	0.0283400809716599	1	0.0283400809716599	
PTHR43512	TIGR00231		0.000924428010168708	0.0547945205479452	0.000939408172851104	
PTHR43512	PTHR43512:SF1		0.174496644295302	0.178082191780822	0.896551724137931	
PTHR43512	TIGR01393	P	0.780821917808219	0.780821917808219	1	
PTHR24096:SF297	PTHR24096	C	0.023841059602649	1	0.023841059602649	
PTHR24096:SF297	TIGR01923	P	0.526315789473684	0.555555555555556	0.909090909090909	
PTHR13794:SF58	PTHR13794	C	0.614285714285714	0.914893617021277	0.651515151515151	
PTHR13794:SF58	SFLDF00111	P	0.531914893617021	0.531914893617021	1	
PTHR13794:SF58	SFLDF00270	P	0.0851063829787234	0.0851063829787234	1	
PTHR13794:SF58	SFLDS00001		0.0368271954674221	0.276595744680851	0.0407523510971787	
PTHR13794:SF58	SFLDG00179		0.337349397590361	0.595744680851064	0.4375	
PTHR11685	PTHR11685:SF99	P	0.0252479711451758	0.0252707581227437	0.96551724137931	
SFLDF00002	SFLDG00178	E	0.935483870967742	1	0.935483870967742	
SFLDF00002	PTHR11902:SF1		0.230046948356808	0.241379310344828	0.830508474576271	
SFLDF00002	PTHR11902:SF5		0.0717488789237668	0.0788177339901478	0.444444444444444	
SFLDF00002	PTHR11902:SF6		0.00980392156862745	0.00985221674876847	0.666666666666667	
SFLDF00002	PTHR11902:SF32		0.0194174757281553	0.0197044334975369	0.571428571428571	
SFLDF00002	PTHR11902:SF21		0.00980392156862745	0.00985221674876847	0.666666666666667	
SFLDF00002	PTHR11902:SF8		0.0576923076923077	0.0591133004926108	0.705882352941177	
SFLDF00002	PTHR11902:SF10		0.137931034482759	0.157635467980296	0.524590163934426	
SFLDF00002	TIGR01060	E	0.925581395348837	0.980295566502463	0.943127962085308	
SFLDF00002	PTHR11902:SF12		0.131578947368421	0.147783251231527	0.545454545454545	
SFLDF00002	PTHR11902:SF31	P	0.141463414634146	0.142857142857143	0.935483870967742	
SFLDF00002	PTHR11902	C	0.567039106145251	1	0.567039106145251	
SFLDF00002	PTHR11902:SF13		0.00938967136150235	0.00985221674876847	0.166666666666667	
SFLDF00002	SFLDS00001	C	0.62111801242236	0.985221674876847	0.626959247648903	
PTHR11573:SF6	PTHR11573		0.59748427672956	0.88785046728972	0.646258503401361	
PTHR11573:SF6	TIGR02506		0.661654135338346	0.822429906542056	0.771929824561403	
SFLDG01099	PTHR43075		0.733333333333333	0.846153846153846	0.846153846153846	
SFLDG01099	PTHR43787		0.0454545454545455	0.153846153846154	0.0606060606060606	
SFLDG01099	SFLDS00029	C	0.00993124522536287	1	0.00993124522536287	
SFLDG01099	PTHR43787:SF3		0.0869565217391304	0.153846153846154	0.166666666666667	
PTHR32319	PTHR32319:SF0	P	0.607843137254902	0.607843137254902	1	
SFLDF00295	SFLDG01082	C	0.0115606936416185	1	0.0115606936416185	
SFLDF00295	TIGR00089	C	0.0232558139534884	1	0.0232558139534884	
SFLDF00295	TIGR01579	C	0.285714285714286	1	0.285714285714286	
SFLDF00295	PTHR11918	C	0.0363636363636364	1	0.0363636363636364	
SFLDF00295	SFLDG01061	C	0.0317460317460317	1	0.0317460317460317	
SFLDF00295	SFLDS00029	C	0.00305576776165011	1	0.00305576776165011	
PTHR32385	PTHR32385:SF15	P	0.428571428571429	0.428571428571429	1	
PTHR10504	PTHR10504:SF84	P	0.0765864332603939	0.0767543859649123	0.972222222222222	
TIGR03955	SFLDG01060	C	0.0987654320987654	1	0.0987654320987654	
TIGR03955	PTHR43583	C	0.5	1	0.5	
TIGR03955	PTHR43583:SF2	E	1	1	1	
TIGR03955	SFLDG01081		0.1	0.125	0.333333333333333	
TIGR03955	SFLDF00319	P	0.75	0.75	1	
TIGR03955	SFLDS00029		0.0038109756097561	0.625	0.00381970970206264	
TIGR03471	SFLDF00404	E	1	1	1	
TIGR03471	PTHR43409	C	0.0161290322580645	1	0.0161290322580645	
TIGR03471	SFLDG01123	C	0.027027027027027	1	0.027027027027027	
TIGR03471	SFLDG01082	C	0.00289017341040462	1	0.00289017341040462	
TIGR03471	PTHR43409:SF8	C	0.0714285714285714	1	0.0714285714285714	
TIGR03471	SFLDS00029	C	0.000763941940412529	1	0.000763941940412529	
PTHR42839	TIGR00543	C	0.6	0.91304347826087	0.636363636363636	
TIGR02026	PTHR43409:SF7	C	0.1875	1	0.1875	
TIGR02026	PTHR43409	C	0.0483870967741935	1	0.0483870967741935	
TIGR02026	SFLDG01123	C	0.0810810810810811	1	0.0810810810810811	
TIGR02026	SFLDG01082	C	0.00867052023121387	1	0.00867052023121387	
TIGR02026	SFLDF00302	P	0.333333333333333	0.333333333333333	1	
TIGR02026	SFLDS00029	C	0.00229182582123759	1	0.00229182582123759	
SFLDF00118	PTHR43287	C	0.0540540540540541	1	0.0540540540540541	
SFLDF00118	PTHR43287:SF6	E	1	1	1	
SFLDF00118	SFLDS00001	C	0.00626959247648903	1	0.00626959247648903	
SFLDF00118	SFLDG00179		0.0153846153846154	0.5	0.015625	
PTHR11712	PTHR11712:SF316	P	0.0283975659229209	0.0283975659229209	1	
TIGR03910	SFLDF00349	E	1	1	1	
TIGR03910	SFLDG01060	C	0.0123456790123457	1	0.0123456790123457	
TIGR03910	SFLDG01280	C	0.1	1	0.1	
TIGR03910	PTHR43726	C	0.0833333333333333	1	0.0833333333333333	
TIGR03910	SFLDS00029	C	0.000763941940412529	1	0.000763941940412529	
TIGR04083	SFLDG01072	C	0.0714285714285714	1	0.0714285714285714	
TIGR04083	SFLDG01067	C	0.00378787878787879	1	0.00378787878787879	
TIGR04083	SFLDG01386	C	0.00666666666666667	1	0.00666666666666667	
TIGR04083	PTHR43273	C	0.0263157894736842	1	0.0263157894736842	
TIGR04083	SFLDG01384	C	0.05	1	0.05	
TIGR04083	PTHR43273:SF5	C	0.0769230769230769	1	0.0769230769230769	
PTHR12001:SF67	SFLDG01017	C	0.0103626943005181	1	0.0103626943005181	
PTHR12001:SF67	SFLDS00005	C	0.00527704485488127	1	0.00527704485488127	
PTHR12001:SF67	PTHR12001	C	0.00647249190938511	1	0.00647249190938511	
PTHR43432:SF4	SFLDG01084	C	0.0869565217391304	1	0.0869565217391304	
PTHR43432:SF4	PTHR43432	C	0.08	1	0.08	
PTHR43432:SF4	SFLDS00029		0.000763358778625954	0.5	0.000763941940412529	
PTHR43020:SF1	SFLDF00273	C	0.355263157894737	0.931034482758621	0.364864864864865	
PTHR43020:SF1	SFLDG01082	C	0.0806916426512968	0.96551724137931	0.0809248554913295	
PTHR43020:SF1	TIGR00089	C	0.161849710982659	0.96551724137931	0.162790697674419	
PTHR43020:SF1	TIGR01574	C	0.421875	0.931034482758621	0.435483870967742	
PTHR43020:SF1	SFLDG01061	C	0.220472440944882	0.96551724137931	0.222222222222222	
PTHR43020:SF1	SFLDS00029	C	0.0221543162719633	1	0.0221543162719633	
PTHR43020:SF1	PTHR43020	C	0.318681318681319	1	0.318681318681319	
PTHR43889	PTHR43889:SF46	P	0.0186625194401244	0.0186915887850467	0.923076923076923	
PTHR42973:SF2	PTHR42973		0.0657894736842105	0.714285714285714	0.0675675675675676	
PTHR43685:SF5	PTHR43685		0.1125	0.9	0.113924050632911	
PTHR24286:SF157	PTHR24286	C	0.0119695321001088	1	0.0119695321001088	
PTHR10795:SF461	PTHR10795	C	0.032	0.923076923076923	0.0320855614973262	
SFLDF00348	SFLDG01060	C	0.0493827160493827	1	0.0493827160493827	
SFLDF00348	SFLDG01082		0.00574712643678161	0.5	0.00578034682080925	
SFLDF00348	SFLDG01280	C	0.4	1	0.4	
SFLDF00348	TIGR03956	C	0.8	1	0.8	
SFLDF00348	PTHR43726	C	0.333333333333333	1	0.333333333333333	
SFLDF00348	SFLDS00029	C	0.00305576776165011	1	0.00305576776165011	
TIGR03936	PTHR42731:SF1		0.0454545454545455	0.1	0.0769230769230769	
TIGR03936	PTHR42731		0.027027027027027	0.1	0.0357142857142857	
PTHR12785:SF6	PTHR12785		0.318777292576419	0.688679245283019	0.372448979591837	
SFLDF00413	SFLDF00273	C	0.571428571428571	0.936170212765957	0.594594594594595	
SFLDF00413	SFLDG01082	C	0.135838150289017	1	0.135838150289017	
SFLDF00413	TIGR00089	C	0.273255813953488	1	0.273255813953488	
SFLDF00413	TIGR01574		0.415584415584416	0.680851063829787	0.516129032258065	
SFLDF00413	SFLDG01061	C	0.373015873015873	1	0.373015873015873	
SFLDF00413	SFLDS00029	C	0.0351145038167939	0.978723404255319	0.0351413292589763	
SFLDF00413	PTHR43020:SF2	C	0.775862068965517	0.957446808510638	0.803571428571429	
SFLDF00413	PTHR43020	C	0.516483516483517	1	0.516483516483517	
PTHR11999	PTHR11999:SF70		0.0452755905511811	0.0456349206349206	0.851851851851852	
SFLDF00285	SFLDG01072	C	0.642857142857143	1	0.642857142857143	
SFLDF00285	PTHR43273:SF6		0.538461538461538	0.777777777777778	0.636363636363636	
SFLDF00285	SFLDG01067	C	0.0340909090909091	1	0.0340909090909091	
SFLDF00285	SFLDG01386	C	0.06	1	0.06	
SFLDF00285	PTHR43273	C	0.236842105263158	1	0.236842105263158	
SFLDF00285	TIGR03942	C	0.9	1	0.9	
SFLDF00285	SFLDG01384	C	0.45	1	0.45	
SFLDF00285	PTHR43273:SF5		0.1	0.222222222222222	0.153846153846154	
PTHR13367	PTHR13367:SF26		0.0289855072463768	0.0318725099601594	0.242424242424242	
PTHR43179:SF5	PTHR43179	C	0.227272727272727	1	0.227272727272727	
PTHR43243:SF40	PTHR43243	C	0.11371237458194	0.985507246376812	0.113902847571189	
PTHR12459:SF5	PTHR12459		0.0441176470588235	0.857142857142857	0.0444444444444444	
SFLDG00178	SFLDF00002	E	0.935483870967742	0.935483870967742	1	
SFLDG00178	PTHR11902:SF1		0.215859030837004	0.225806451612903	0.830508474576271	
SFLDG00178	PTHR11902:SF5		0.0765957446808511	0.0829493087557604	0.5	
SFLDG00178	PTHR11902:SF6	P	0.0138248847926267	0.0138248847926267	1	
SFLDG00178	PTHR11902:SF32		0.0228310502283105	0.0230414746543779	0.714285714285714	
SFLDG00178	PTHR11902:SF21		0.00917431192660551	0.00921658986175115	0.666666666666667	
SFLDG00178	PTHR11902:SF8		0.0540540540540541	0.0552995391705069	0.705882352941177	
SFLDG00178	PTHR11902:SF10		0.1440329218107	0.161290322580645	0.573770491803279	
SFLDG00178	TIGR01060	E	0.902222222222222	0.935483870967742	0.962085308056872	
SFLDG00178	PTHR11902:SF12		0.142857142857143	0.15668202764977	0.618181818181818	
SFLDG00178	PTHR11902:SF31	P	0.137614678899083	0.138248847926267	0.967741935483871	
SFLDG00178	PTHR11902	C	0.592797783933518	0.986175115207373	0.597765363128492	
SFLDG00178	PTHR11902:SF13		0.00881057268722467	0.00921658986175115	0.166666666666667	
SFLDG00178	SFLDS00001	C	0.659442724458204	0.981566820276498	0.667711598746082	
SFLDG01086	PTHR11135:SF3	P	0.018018018018018	0.018018018018018	1	
SFLDG01086	PTHR11135:SF2		0.025	0.027027027027027	0.25	
SFLDG01086	SFLDF00344	P	0.765765765765766	0.765765765765766	1	
SFLDG01086	SFLDG01082		0.0110619469026549	0.045045045045045	0.0144508670520231	
SFLDG01086	PTHR11135	C	0.736486486486487	0.981981981981982	0.746575342465753	
SFLDG01086	PTHR11135:SF1	P	0.176991150442478	0.18018018018018	0.909090909090909	
SFLDG01086	TIGR01212	P	0.18018018018018	0.18018018018018	1	
SFLDG01086	SFLDG01091	P	0.178571428571429	0.18018018018018	0.952380952380952	
SFLDG01086	PTHR11135:SF0		0.641221374045801	0.756756756756757	0.807692307692308	
SFLDG01086	SFLDS00029		0.0312273057371097	0.387387387387387	0.0328495034377387	
SFLDG01086	TIGR01211	P	0.747826086956522	0.774774774774775	0.955555555555556	
SFLDF00272	SFLDG01278	C	0.703703703703704	1	0.703703703703704	
SFLDF00272	SFLDG01060	C	0.469135802469136	1	0.469135802469136	
SFLDF00272	TIGR00433	C	0.703703703703704	1	0.703703703703704	
SFLDF00272	PTHR22976	C	0.666666666666667	1	0.666666666666667	
SFLDF00272	SFLDS00029	C	0.0290297937356761	1	0.0290297937356761	
PTHR12673	PTHR12673:SF144		0.00824742268041237	0.00831024930747922	0.521739130434783	
PTHR43685	PTHR43685:SF5		0.1125	0.113924050632911	0.9	
PTHR43685	PTHR43685:SF1		0.135802469135802	0.139240506329114	0.846153846153846	
PTHR43685	PTHR43685:SF3	P	0.189873417721519	0.189873417721519	1	
PTHR13932:SF9	PTHR13932	C	0.0188679245283019	1	0.0188679245283019	
PTHR13932:SF9	SFLDG01082		0.00288184438040346	0.5	0.00289017341040462	
PTHR13932:SF9	SFLDF00311	E	1	1	1	
PTHR13932:SF9	TIGR04107	E	1	1	1	
PTHR13932:SF9	SFLDS00029	C	0.00152788388082506	1	0.00152788388082506	
PTHR22916:SF2	PTHR22916	C	0.0555555555555556	1	0.0555555555555556	
PTHR43787:SF1	SFLDG01067	C	0.0113636363636364	1	0.0113636363636364	
PTHR43787:SF1	SFLDG01068		0.25	0.333333333333333	0.5	
PTHR43787:SF1	PTHR43787	C	0.0909090909090909	1	0.0909090909090909	
PTHR43787:SF1	TIGR01290		0.2	0.333333333333333	0.333333333333333	
PTHR43787:SF1	SFLDS00029	C	0.00229182582123759	1	0.00229182582123759	
PTHR22916:SF49	PTHR22916		0.0348258706467662	0.7	0.0353535353535354	
PTHR11626	TIGR01559	P	0.785714285714286	0.785714285714286	1	
PTHR11626	SFLDS00005		0.0192307692307692	0.0918367346938776	0.0237467018469657	
PTHR11626	SFLDG01018		0.457516339869281	0.714285714285714	0.56	
PTHR21256	TIGR00069	E	0.911392405063291	0.9	1.01408450704225	
TIGR04381	PTHR32071:SF3	C	0.75	1	0.75	
TIGR04381	PTHR32071	C	0.0321428571428571	1	0.0321428571428571	
TIGR03961	SFLDG01067	C	0.00378787878787879	1	0.00378787878787879	
TIGR03961	PTHR11228:SF7	C	0.0294117647058824	1	0.0294117647058824	
TIGR03961	PTHR11228	C	0.0153846153846154	1	0.0153846153846154	
TIGR03961	SFLDS00029	C	0.000763941940412529	1	0.000763941940412529	
TIGR04334	SFLDG01067	C	0.00378787878787879	1	0.00378787878787879	
TIGR04334	PTHR43787	C	0.0303030303030303	1	0.0303030303030303	
TIGR04334	SFLDG01384	C	0.05	1	0.05	
TIGR04334	SFLDS00029	C	0.000763941940412529	1	0.000763941940412529	
TIGR04334	PTHR43787:SF3	C	0.0833333333333333	1	0.0833333333333333	
PTHR21551:SF8	PTHR21551		0.162921348314607	0.604166666666667	0.182389937106918	
PTHR13932	PTHR13932:SF9	P	0.0188679245283019	0.0188679245283019	1	
PTHR13932	TIGR00538	P	0.132075471698113	0.132075471698113	1	
PTHR13932	SFLDG01065	P	0.443396226415094	0.443396226415094	1	
PTHR13932	SFLDF00562	P	0.641509433962264	0.641509433962264	1	
PTHR13932	SFLDF00310	P	0.0377358490566038	0.0377358490566038	1	
PTHR13932	SFLDG01082		0.118811881188119	0.452830188679245	0.138728323699422	
PTHR13932	TIGR00539	P	0.632075471698113	0.632075471698113	1	
PTHR13932	SFLDF00288	P	0.443396226415094	0.443396226415094	1	
PTHR13932	SFLDF00311	P	0.0188679245283019	0.0188679245283019	1	
PTHR13932	SFLDF00277	P	0.0566037735849057	0.0566037735849057	1	
PTHR13932	PTHR13932:SF1	P	0.0377358490566038	0.0377358490566038	1	
PTHR13932	TIGR03994	P	0.0377358490566038	0.0377358490566038	1	
PTHR13932	TIGR04107	P	0.0188679245283019	0.0188679245283019	1	
PTHR13932	PTHR13932:SF6	P	0.141509433962264	0.141509433962264	1	
PTHR13932	PTHR13932:SF5	P	0.311320754716981	0.311320754716981	1	
PTHR13932	PTHR13932:SF14	P	0.287037037037037	0.292452830188679	0.939393939393939	
PTHR13932	PTHR13932:SF3	P	0.121495327102804	0.122641509433962	0.928571428571429	
PTHR13932	SFLDS00029		0.014336917562724	0.188679245283019	0.0152788388082506	
SFLDG01278	SFLDF00272	P	0.703703703703704	0.703703703703704	1	
SFLDG01278	SFLDG01060	C	0.666666666666667	1	0.666666666666667	
SFLDG01278	PTHR42684:SF3		0.00925925925925926	0.0185185185185185	0.0181818181818182	
SFLDG01278	TIGR00433	E	1	1	1	
SFLDG01278	PTHR22976	E	0.913793103448276	0.981481481481482	0.929824561403509	
SFLDG01278	PTHR42684		0.00602409638554217	0.0185185185185185	0.00884955752212389	
SFLDG01278	SFLDS00029	C	0.0412528647822765	1	0.0412528647822765	
TIGR02495	SFLDG01067		0.00749063670411985	0.4	0.00757575757575758	
TIGR02495	SFLDG01094	E	1	1	1	
TIGR02495	PTHR11228		0.0606060606060606	0.8	0.0615384615384615	
TIGR02495	PTHR11228:SF27		0.571428571428571	0.8	0.666666666666667	
TIGR02495	SFLDS00029	C	0.00381970970206264	1	0.00381970970206264	
TIGR02495	PTHR30352:SF13		0.0833333333333333	0.2	0.125	
PTHR43409:SF7	TIGR02026	P	0.1875	0.1875	1	
PTHR43409:SF7	PTHR43409	C	0.238095238095238	0.9375	0.241935483870968	
PTHR43409:SF7	SFLDG01123		0.261904761904762	0.6875	0.297297297297297	
PTHR43409:SF7	SFLDG01082		0.0402298850574713	0.875	0.0404624277456647	
PTHR43409:SF7	SFLDF00302	P	0.0625	0.0625	1	
PTHR43409:SF7	SFLDS00029		0.00990853658536585	0.8125	0.00993124522536287	
PTHR13939	TIGR00200	P	0.39622641509434	0.39622641509434	1	
PTHR13939	TIGR00177		0.0103806228373702	0.0566037735849057	0.0125523012552301	
PTHR13939	TIGR00199		0.264705882352941	0.339622641509434	0.545454545454545	
PTHR11902:SF1	SFLDF00002		0.230046948356808	0.830508474576271	0.241379310344828	
PTHR11902:SF1	SFLDG00178		0.215859030837004	0.830508474576271	0.225806451612903	
PTHR11902:SF1	TIGR01060		0.210762331838565	0.796610169491525	0.222748815165877	
PTHR11902:SF1	PTHR11902	C	0.161559888579387	0.983050847457627	0.162011173184358	
PTHR11902:SF1	SFLDS00001		0.141993957703928	0.796610169491525	0.147335423197492	
PTHR10795	PTHR10795:SF461	P	0.032	0.0320855614973262	0.923076923076923	
PTHR43741	PTHR43741:SF2	P	0.194444444444444	0.194444444444444	1	
PTHR33169:SF14	PTHR33169	C	0.479166666666667	1	0.479166666666667	
PTHR12604:SF2	TIGR00578	P	0.618181818181818	0.623853211009174	0.985507246376812	
PTHR12604:SF2	PTHR12604		0.442922374429224	0.889908256880734	0.468599033816425	
TIGR00069	PTHR21256	C	0.864197530864197	0.985915492957746	0.875	
SFLDF00349	TIGR03910	E	1	1	1	
SFLDF00349	SFLDG01060	C	0.0123456790123457	1	0.0123456790123457	
SFLDF00349	SFLDG01280	C	0.1	1	0.1	
SFLDF00349	PTHR43726	C	0.0833333333333333	1	0.0833333333333333	
SFLDF00349	SFLDS00029	C	0.000763941940412529	1	0.000763941940412529	
PTHR22914:SF16	PTHR22914		0.0897435897435897	0.875	0.0909090909090909	
PTHR10000:SF8	PTHR10000		0.389221556886228	0.89041095890411	0.408805031446541	
PTHR10000:SF8	TIGR00369		0.00421940928270042	0.0136986301369863	0.00606060606060606	
PTHR10890	TIGR00435	P	0.777777777777778	0.74703557312253	1.05586592178771	
PTHR10890	PTHR10890:SF3		0.337078651685393	0.355731225296443	0.865384615384615	
PTHR31480:SF17	PTHR31480	C	0.0422535211267606	1	0.0422535211267606	
PTHR31480:SF17	TIGR03464	E	1	1	1	
PTHR31480:SF17	SFLDG01212	C	0.0555555555555556	1	0.0555555555555556	
PTHR31480:SF17	SFLDG01018		0.0158730158730159	0.666666666666667	0.016	
SFLDF00303	PTHR43409:SF3		0.727272727272727	0.8	0.888888888888889	
SFLDF00303	PTHR43409	C	0.161290322580645	1	0.161290322580645	
SFLDF00303	SFLDG01123	C	0.27027027027027	1	0.27027027027027	
SFLDF00303	SFLDG01082	C	0.0289017341040462	1	0.0289017341040462	
SFLDF00303	PTHR43409:SF9	P	0.2	0.2	1	
SFLDF00303	SFLDS00029	C	0.00763941940412529	1	0.00763941940412529	
PTHR43097:SF5	TIGR00463		0.402298850574713	0.875	0.426829268292683	
PTHR43097:SF5	PTHR43097		0.14344262295082	0.875	0.146443514644351	
PTHR43297	PTHR43297:SF6		0.154545454545455	0.157407407407407	0.894736842105263	
PTHR12526	PTHR12526:SF232	P	0.0600539811066127	0.0601351351351351	0.978021978021978	
PTHR12526	PTHR12526:SF448		0.00404858299595142	0.00405405405405405	0.75	
PTHR12526	PTHR12526:SF554	P	0.0479405806887238	0.047972972972973	0.986111111111111	
PTHR20856:SF5	PTHR20856		0.192560175054705	0.814814814814815	0.20137299771167	
PTHR11135:SF6	PTHR11135	C	0.0342465753424658	1	0.0342465753424658	
PTHR11135:SF6	TIGR01210	P	0.8	0.8	1	
PTHR11135:SF6	SFLDS00029		0.0022883295194508	0.6	0.00229182582123759	
TIGR02487	PTHR21075	C	0.818181818181818	1	0.818181818181818	
PTHR12697	PTHR12697:SF5		0.43609022556391	0.513274336283186	0.743589743589744	
SFLDF00278	SFLDG01118		0.0526315789473684	0.0909090909090909	0.111111111111111	
SFLDF00278	PTHR30352:SF5	C	0.344827586206897	0.909090909090909	0.357142857142857	
SFLDF00278	TIGR02494		0.05	0.0909090909090909	0.1	
SFLDF00278	SFLDG01066	C	0.25	1	0.25	
SFLDF00278	PTHR30352:SF14		0.0833333333333333	0.0909090909090909	0.5	
SFLDF00278	SFLDS00029	C	0.00840336134453781	1	0.00840336134453781	
SFLDF00278	TIGR02493	C	0.714285714285714	0.909090909090909	0.769230769230769	
SFLDF00278	PTHR30352	C	0.135802469135802	1	0.135802469135802	
PTHR23177:SF1	PTHR23177		0.0802139037433155	0.666666666666667	0.0835654596100279	
TIGR00538	PTHR13932	C	0.132075471698113	1	0.132075471698113	
TIGR00538	SFLDG01065	C	0.297872340425532	1	0.297872340425532	
TIGR00538	SFLDG01082		0.0227272727272727	0.571428571428571	0.023121387283237	
TIGR00538	SFLDF00277	P	0.428571428571429	0.428571428571429	1	
TIGR00538	PTHR13932:SF6	E	0.933333333333333	1	0.933333333333333	
TIGR00538	SFLDS00029		0.00075642965204236	0.0714285714285714	0.000763941940412529	
PTHR22960:SF18	SFLDG01110	E	1	1	1	
PTHR22960:SF18	SFLDG01067	C	0.0151515151515152	1	0.0151515151515152	
PTHR22960:SF18	PTHR22960	C	0.0228571428571429	1	0.0228571428571429	
PTHR22960:SF18	SFLDS00029	C	0.00305576776165011	1	0.00305576776165011	
PTHR21180	PTHR21180:SF9	P	0.0958904109589041	0.0958904109589041	1	
PTHR21180	SFLDG01102	P	0.0958904109589041	0.0958904109589041	1	
PTHR21180	SFLDS00029		0.00363108206245461	0.0684931506849315	0.00381970970206264	
PTHR21180	TIGR03916	P	0.0958904109589041	0.0958904109589041	1	
PTHR21234:SF16	PTHR21234		0.230366492146597	0.771929824561403	0.247191011235955	
PTHR12526:SF232	PTHR12526	C	0.0600539811066127	0.978021978021978	0.0601351351351351	
PTHR42731:SF4	SFLDG01082	C	0.0173410404624277	1	0.0173410404624277	
PTHR42731:SF4	SFLDS00029	C	0.00458365164247517	1	0.00458365164247517	
PTHR42731:SF4	PTHR42731	C	0.214285714285714	1	0.214285714285714	
PTHR10949:SF24	PTHR10949	C	0.146198830409357	1	0.146198830409357	
PTHR10949:SF24	SFLDG01058	C	0.225225225225225	1	0.225225225225225	
PTHR10949:SF24	TIGR00510	C	0.213675213675214	1	0.213675213675214	
